Profundidade (metros)	Queda de pressao (psi)
50		8.78409
100		17.5682
150		26.3523
200		35.1363
250		43.9204
300		44.5765
350		45.2325
400		45.8886
450		46.5446
500		47.2006
550		47.8567
600		48.5127
650		49.1688
700		49.8248
750		50.4809
800		51.1369
850		51.7929
900		52.449
950		53.105
1000		53.7611
1050		54.4171
1100		55.0732
1150		55.7292
1200		56.3852
1250		57.0413
1300		57.6973
1350		58.3534
1400		59.0094
1450		59.6655
1500		60.3215
1550		60.9775
1600		61.6336
1650		62.2896
1700		62.9457
1750		63.6017
1800		64.2578
1850		64.9138
1900		65.5698
1950		66.2259
2000		66.8819
2050		67.538
2100		68.194
2150		68.8501
2200		69.5061
2250		70.1621
2300		70.8182
2350		71.4742
2400		72.1303
2450		72.7863
2500		73.4424
2550		74.0984
2600		74.7544
2650		75.4105
2700		76.0665
2750		76.7226
2800		77.3786
2850		78.0347
2900		78.6907
2950		79.3467
3000		80.0028
3050		80.6588
3100		81.3149
3150		81.9709
3200		82.627
3250		83.283
3300		83.939
3350		84.5951
3400		85.2511
3450		85.9072
3500		86.5632
3550		87.2193
3600		87.8753
3650		88.5313
3700		89.1874
3750		89.8434
3800		90.4995
3850		91.1555
3900		91.8116
3950		92.4676
4000		93.1236
4050		93.7797
4100		94.4357
4150		95.0918
4200		95.7478
4250		96.4038
4300		97.0599
4350		97.7159
4400		98.372
4450		99.028
4500		99.6841
4550		100.34
4600		100.996
4650		101.659
4700		102.322
4750		102.985
4800		103.648
4850		104.311
4900		104.974
4950		105.637
5000		106.3
