Profundidade (metros)	Queda de pressao (psi)
1		0.0710265
2		0.142053
3		0.21308
4		0.284106
5		0.355133
6		0.426159
7		0.497186
8		0.568212
9		0.639239
10		0.710265
11		0.781292
12		0.852318
13		0.923345
14		0.994371
15		1.0654
16		1.13642
17		1.20745
18		1.27848
19		1.3495
20		1.42053
21		1.49156
22		1.56258
23		1.63361
24		1.70464
25		1.77566
26		1.84669
27		1.91772
28		1.98874
29		2.05977
30		2.1308
31		2.13596
32		2.14112
33		2.14628
34		2.15144
35		2.15661
36		2.16177
37		2.16693
38		2.17209
39		2.17726
40		2.18242
41		2.18758
42		2.19274
43		2.19791
44		2.20307
45		2.20823
46		2.21339
47		2.21855
48		2.22372
49		2.22888
50		2.23404
51		2.2392
52		2.24437
53		2.24953
54		2.25469
55		2.25985
56		2.26502
57		2.27018
58		2.27534
59		2.2805
60		2.28566
61		2.29083
62		2.29599
63		2.30115
64		2.30631
65		2.31148
66		2.31664
67		2.3218
68		2.32696
69		2.33213
70		2.33729
71		2.34245
72		2.34761
73		2.35277
74		2.35794
75		2.3631
76		2.36826
77		2.37342
78		2.37859
79		2.38375
80		2.38891
81		2.39407
82		2.39923
83		2.4044
84		2.40956
85		2.41472
86		2.41988
87		2.42505
88		2.43021
89		2.43537
90		2.44053
91		2.4457
92		2.45086
93		2.45602
94		2.46118
95		2.46634
96		2.47151
97		2.47667
98		2.48183
99		2.48699
100		2.49216
